album_access_none,Fingo does not have access to  your Camera Roll,Fingo没有相册权限,,,
settings_change_number,Change Phone Number,修改手机号,,,
new_number_tips,"You will need to use your new phone number to log into your account, and be sure to notify your contacts about your new phone number",更换后，您将需要使用新号码登录帐号，另外确保有通知到您的联系人噢,,,
add_risk_notice,Risk Warning,风险提示,,,
prisk_desc1,"Since most users are not able to manage their private keys by themselves, we provide this platform as a tool whereby Bank Manager can provide services that take care of private keys for their customer. Users can choose Bank Manager based on trusts. The platform does not has any affiliation with Bank Managers. Thus the platform will not take any responsibility for Bank Manager's actions",鉴于大部分用户无法自己管理私钥，我们提供此平台作为工具，Bank Manager由此可提供代管私钥的服务，用户基于信任自行选择他认可的Bank Manager，平台与Bank Manager无关，平台不为Bank Manager行为负责,,,
prisk_desc2,Bank Manager has an obligation and responsibility to ensure that the services it provides to manage private keys are secure,Bank Manager有义务跟责任确保其所提供的管理私钥服务的安全可靠,,,
prisk_desc3,System will  promptly notify users if any abnormal behavior of the Bank Manager has been detected,系统在监控到异常行为，会及时通知到用户,,,
prisk_desc4,"If Bank Manager lost the private key, or transfer BTC or other assets without authorization, the platform does not assume responsibility, but will help users to take legal measures",如Bank Manager丢失私钥，或未经用户授权私自转移BTC，平台不承担责任，但是会协助用户采取法律措施,,,
prisk_desc5,"If Bank Manager has other irregularities, we will assist users with the claim",如Bank Manager出现其它违规行为，我们会协助用户申述,,,
signup_country,Country,国家,,,
common_search,Search,搜索,,,
signup_welcome,Welcome!,欢迎！,,,
verify_code_resend,Resend code,重发验证码,,,
settings_phone_current,Current Phone Number,当前手机号,,,
common_swtich,Switch,切换,,,
settings_all_transactions,All Transactions,所有交易,,,
settings_my_accounts,My Banks,我的币行,,,
sent_yet_accept,To be received,待接收,,,
trans_fee,Transaction Fee,交易费,,,
service_content,Service Content,服务内容,,,
current_number,Current Number,当前号码,,,
settings_logout,Logout,退出登录,,,
common_scan,Scan,扫描,,,
error_2,"Invalid input, please try again",输入无效，请重试,,,
error_3,Account does not exist,帐号不存在,,,
error_403,login expired，please login again,登录过期，请重新登录,,,
error_5,Insufficient Balance,余额不足,,,
error_8,"Network error, please try again",网络错误，请重试,,,
error_10,Incorrect Password,密码错误,,,
error_11,This Phone Number is already in use,此号码已经注册过帐号,,,
error_12,Invalid verification code,无效的验证码,,,
error_13,Invalid identity information,身份信息无效,,,
error_14,Invalid XPublic Key,无效的母公钥,,,
error_101,"Failed to change setting, please try again",设置修改失败，请重试,,,
error_102,"Failed to join the bank, please try again",加入失败，请重试,,,
error_103,Unknown Account,未知帐号,,,
error_104,Failed to submit transaction record,提交交易记录失败,,,
error_105,"Failed to load account info, check your network and try again",账户信息加载失败，检查网络后重试,,,
error_106,Duplicated account info,账户信息重复,,,
error_107,Unrecognizable Sending Account,无法识别发送帐号,,,
error_108,"Failed to load account balance, check your network and try again",加载帐号余额失败，检查网络后重试,,,
error_109,"Failed to load account balance, check your network and try again",加载帐号余额失败，检查网络后重试,,,
error_110,Invalid Transcation,无效的交易,,,
error_111,"Server Error, try again later",服务器错误，请稍后重试,,,
error_112,Duplicated account info,账户信息重复,,,
error_113,Unrecognizable Transcation ID,无法识别交易信息,,,
error_114,"Failed to add contact, please try again",添加联系人失败，请重试,,,
error_115,"Failed to update contact info, please try again",更新联系人信息失败，请重试,,,
error_116,"Failed to load balance, check your network and try again",加载余额失败，检查网络后重试,,,
error_117,"Failed to update bank info, please try again",更新币行信息失败，请重试,,,
error_118,"Failed to save bank, please try again",币行保存失败，请重试,,,
error_119,Unrecognizable Bank Admin Info,无法识别币行管理员信息,,,
error_120,"Failed to update bank info, please try again",更新币行信息失败，请重试,,,
error_121,Failed to add a default client,添加默认客户失败,,,
error_200,Please input a valid phone number,请输入有效的手机号,,,
error_201,No available SMS provider,无短信服务商,,,
error_202,"Request too frequent, please try again later",请求过于频繁，请稍后再试,,,
sts_liquidated,Liquidated,已清算,,,
button_sts_auto_confirmed,Auto-confirmed,已自动确认,,,
change_new_title,New Phone Number,新号码,,,
fee_unknow_desc,Subject to the real-time fee of reviewing,由审核时的实时费用决定,,,
transfer_no_account,Please scan a Bank's QR code to open an account first,请先扫描币行的二维码开通一个帐号,,,
common_none,None,无,,,
asset_empty_tips,"Join a bank to open your account first, then you can deposit your assets",请先加入币行开通账户，然后再存入资产,,,
account_empty_tips,Join a bank to open your account,请先加入一个币行并开通账户,,,
error_address_own,Receive address can’t be your own address,接收地址不能为自己的地址,,,
error_phonenumber_own,Receive number can’t be your own phone number,接收号码不能为自己的号码,,,
error_131,"Failed to cancel the transaction, please try again",取消交易失败，请重试,,,
error_142,Failed to update account info,账户信息修改失败,,,
toast_bank_joined,You have already joined this bank,您已经加入过这个币行了,,,
toast_account_added,Account added successful,帐号添加成功,,,
trans_receive_account,Receiving Bank,收款币行,,,
change_phonenum_toast,Please change phone number at your Bank,请在您的币行中修改绑定的手机号,,,
common_select_coin,Select Coin,选择币种,,,
receive_address_tips,The above address is for sending and receiving {{value}} only,本地址仅用于{{value}}收付款,,,
settings_notification_center,Notification Center,通知中心,,,
fingo_team,Fingo Team,Fingo团队,,,
notification_tips,"Fingo are not allowed to send notifications, you may miss some important message, to allow, please go to settings",Fingo没有推送通知的权限，您可能会错过重要消息，可前往设置中允许,,,
error_441,The address you entered does not match selected coin type,输入的地址与所选币种不匹配,,,
send_assure_tips,Are you sure you want to send this transaction?,确认要发送交易吗？,,,
send_balance_insufficient_fee,Insufficient Balance for transaction fee,余额不足以支付交易费用,,,
rejected_insufficient_fee,"Your transaction has been rejected by your manager due to insufficient transaction fee, please submit your transaction again.",由于余额不足以支付交易费用，您的交易已经被经理人驳回，请重新提交即可,,,
common_rejected,Rejected,被驳回,,,
common_banks,Banks,币行,,,
common_cancelled,Cancelled,已取消,,,
rejected_status,Rejected,已驳回,,,
common_merging,Merging,整理中,,,
common_merging_account,Merging Accounts…,整理帐号中,,,
name_desc,Please enter your name so your bank manager will be able to recognize you,请输入您的名字，以便您的币行经理能够识别,,,
coin_unselect_tips,Please leave at least one type of coin,请至少保留一种币,,,
error_436,"Sending Ethereum tokens requires the use of Ethereum as miner fee. Please recharge some Ethereum first.
",发送ETH代币需要ETH作为矿工费用，请先充值一些ETH,,,
warn_bank_unusual,"There are some unusual transactions of your bank {{value}}, please contact your manager to make sure your assets are safe ",您的币行{{value}}存在一些异常交易，请联系您的经理确保资金安全,,,
notify_txn_not_done,"Your transaction has not been reviewed yet, please contact your bank manager",您的交易还没有完成审核，请联系您的币行经理处理,,,
send_all,Send All,发送所有,,,
red_packet,Red Packet,红包,,,
add_coin,Manage Assets,管理币种,,,
remove_warning,"You have {{value}} {{coin}} left, are you sure you want to hide {{coin}}?",您还有{{value}} {{coin}}剩余，确认要隐藏{{coin}}吗？,,,
remove_last_toast,Please leave at least one type of coin,请保留至少一种币,,,
select_coin_type,Select Coin Type,选择币种,,,
common_history,History,红包记录,,,
select_bank,Select Bank,选择币行,,,
balance_left,Availabe Balance,可用余额,,,
red_type_random,Random Amount,随机金额,,,
red_type_equal,Equal Amount,等额红包,,,
red_numbers,Numbers of Red Packet,红包数量,,,
,Enter amount,,,,
default_wishes,Good Luck to You,币市无情，红包有爱,,,
create_red,Create Red Packet,创建红包,,,
send_red_packet,Send Red Packet,发红包,,,
someone_red,{{value}}’s Red Packet,{{value}}的红包,,,
share_red,Share Red Packet,分享红包,,,
reds_total,"{{value}} Red Packets, total {{coinAmount}}",{{value}}个红包，总{{coinAmount}},,,
red_not_open_desc,"No one has opened the Red Packet, please share it with others",还没有人领取过这个红包，请分享给他人,,,
share_wechat,Wechat,微信,,,
share_moments,Moments,朋友圈,,,
share_link,Copy Link,复制链接,,,
share_image,Save as Image,存为图片,,,
red_slogan ,"Here are {{value}} {{coin}} red packets I sent from Fingo, get it now!",我用 Fingo 发了{{value}}个 {{coin}} 红包，速领，手慢无～,,,
red_qr_image,Scan QR code to get the Red Packet,扫码立即领取红包,,,
red_packets_no,{{value}} Red Packets,{{value}}个红包,,,
common_red_detail,Details,详情,,,
red_sent,Red Packets You Sent,您发送的红包,,,
red_received,Red Packets You Received,您接收的红包,,,
status_claimed,All Claimed,已领完,,,
status_expired,Expired,已过期,,,
status_available,Available,未领完,,,
txns_id,Txns ID,交易ID,,,
copied_clipboard,Copied to Clipboard,已复制到粘贴板,,,
push_received,You received {{value}} from {{sender}},收到{{sender}}的转账 {{value}} ,,,
common_settings,Settings,设置,,,
estimate_amount,Estimated Arrival Amount,预估到账金额,,,
avg_amount_low,The average amount cannot be smaller than {{value}},红包平均数额不能小于{{value}},,,
avg_amount_high,The average amount cannot be higher than {{value}},红包平均数额不能大于{{value}},,,
no_packets_0,The numbers of red packet cannot be 0,红包数量不能为0,,,
no_packets_high,The numbers of red packet cannot be more than {{value}},红包数量不能大于{{value}},,,
log_kicked_push,"Your phone number has been changed at Fingo Bank, please log back in with it",手机号在Fingo币行修改成功，请使用新号重新登录,,,
old_pw_forgot,Forgot Old Password?,忘记旧密码？,,,
log_out_tips,Are you sure you want to log out of the account?,您确定要登出本账号吗？,,,
update_required_tips,Please update to the latest version to continue to use Fingo,请更新至最新版本以继续使用Fingo,,,
red_expired_return,Red envelope expired,红包过期退还,,,
update_available_tips,"A new version of Fingo is available, please update",Fingo有新版本可用，请更新,,,
receive_external,External Transfer,应用外转入,,,
common_update,Update,更新,,,
common_updating,Updating…,更新中…,,,
common_downloading,Downloading,下载中…,,,
failed_download,"Failed to download update, please try again later",更新下载失败，请稍后重试,,,
failded_update,"Failed to install update, please try again later",安装失败，请稍后重试,,,
sent_from_bank,Select Payment Bank,选择付款币行,,,
my_total_funds,My Total Funds,我的总资产,,,
manage_fee,Management Fee,管理费,,,
net_error_tap,"Network error, tap to retry",网络错误，点击重试,,,
no_notification,There is no notification yet,还没有通知,,,
error_451,"{{value}} is under maintenance now, please make transactions after the maintenance",{{value}}正在维护中，请再维护完成后再进行交易 ,,,
auto_confirm_sts,In-Bank transfer has been auto-confirmed,行内转账已自动确认,,,
total_amount,Total Amount,总数额,,,
change_verify_phone,Please verify your phone number first,请先验证您的手机号,,,
set_new_password,Please set your new Payment Password,请设置您的新支付密码,,,
common_code,Verification Code,验证码,,,
verify_get_code,Get Code,获取验证码,,,
verify_resend,Resend in {{value}},重发{{value}},,,
qr_code_save_success,Saved successfully,保存成功,,,
please_wait,Please Wait…,请稍等…,,,
red_details,Red Packet Details,红包详情,,,
red_no_available,No available balance to send red packets,资产为0，无法发送红包,,,
red_returned,"Red Packet expired, funds has been returned",红包已过期，资金已经原路退还,,,
error_455,"You still have pending transaction in this bank, please try Send All when it’s done","您在本币行仍有待处理交易，请在处理完成后再尝试发送全额
",,,
contact_access_desc,So that you can send to contacts directly,以便您能直接给联系人转账,,,
search_none,No search results,搜索无结果,,,
trans_sender,Sender ,发送方,,,
tab_ticker,Ticker,行情,,,
common_fav,Favorites,收藏,,,
subtab_markect,Market cap,市值,,,
